Instance,opt-cost,AM-cost,ET-cost,2D-Ptr-cost,RANS-cost
X-n275-k28,21245.00 ,28755.65973062957,41388.679447754985,25429.467539086287,23400.13332697404
X-n280-k17,33503.00 ,64131.195589253526,82850.86345736252,45226.37748044352,38519.072094623356
X-n289-k60,95151.00 ,150625.10846157596,156229.79494692475,113476.04475754,101331.31183525598
X-n294-k50,47161.00 ,125563.63962284528,99926.46631170074,67013.32000059624,50434.37563238783
X-n298-k31,34231.00 ,68872.36026140842,84315.72812827883,46383.49043591121,37830.73492592591
X-n303-k21,21736.00 ,38153.25564742062,59105.19257865496,30439.10424911077,25431.33922822041
X-n313-k71,94043.00 ,158066.31110571357,141087.02552924812,127999.09925232473,100350.69506818273
X-n322-k28,29834.00 ,50693.0565223562,79435.14147376949,40047.124262330835,33173.27243510567
X-n327-k20,27532.00 ,46051.26171269235,70612.06388864425,38601.683676115696,31752.391450621264
X-n336-k84,139111.00 ,204052.21876519217,217442.74225442173,246529.0943176164,148639.52698271634
X-n344-k43,42050.00 ,77125.5280838562,100937.43494224348,55463.31838078827,46274.97064689554
X-n351-k40,25896.00 ,49869.80119652295,63379.91233340737,35630.587412133034,29287.47920837774
X-n359-k29,51505.00 ,83907.171223243,105483.0148589592,68555.44970675973,56910.40740208046
X-n376-k94,147713.00 ,239188.19144615854,201969.03226406063,234170.41308093313,151746.8677801508
X-n384-k52,65940.00 ,110238.28026903901,123691.8877191068,84502.27627000154,71748.98589040319
X-n393-k38,38260.00 ,74790.9257420714,83879.41570414783,52291.17846382614,42167.224072258454
X-n401-k29,66154.00 ,114704.00026809187,108012.12036424692,83215.4555637358,73117.59679413415
X-n420-k130,107798.00 ,219871.69276883418,164553.84668189334,177284.7133679534,115728.05493523348
X-n429-k61,65449.00 ,126212.20038885737,126301.34099564883,89700.99631642632,72331.12564006317
X-n439-k37,36391.00 ,59206.64808468729,92743.14681936507,48389.07299561826,40394.209848789265
X-n449-k29,55233.00 ,96918.9424972169,135552.45599655563,78536.3866895511,63415.78217841809
X-n469-k138,221824.00 ,468658.755121629,302724.3216365577,448134.09540317336,238024.35307864792
X-n480-k70,89449.00 ,179162.7928408628,146563.73867599235,108744.06130422781,97538.0367890061
X-n491-k59,66483.00 ,154855.2805650738,151721.8854284758,92941.62332707536,74158.22512139777
X-n502-k39,69226.00 ,88130.24071582776,115958.57183104253,98604.59703373606,78987.154566948
X-n524-k153,154593.00 ,222786.2790572637,246290.2299981286,278050.8024989076,173209.71599152652
X-n536-k96,94846.00 ,205367.36981006368,157750.92913076057,120481.63636722368,103323.99172053546
X-n573-k30,50673.00 ,84461.92132674824,90724.0193422076,65520.475922521495,56712.22405328851
X-n586-k159,190316.00 ,424627.0210265886,281247.7835408686,347008.5279779057,204596.32341515282
X-n599-k92,108451.00 ,258830.00473877718,208220.82557988228,145215.91479340295,118458.35074777773
X-n613-k62,59535.00 ,271979.8110568929,186964.56308819717,112918.12765702867,69243.93433695454
X-n627-k43,62164.00 ,93868.30017751841,130987.194990288,82259.53846290268,68548.97651322202
X-n641-k35,63684.00 ,102151.38960875831,155715.39901610833,90260.89178293815,73343.64316110316
X-n655-k131,106780.00 ,133873.166860749,148427.50911905442,131285.00224103368,110700.78854578987
X-n685-k75,68205.00 ,248261.86887446282,186848.26056077797,126897.28163223209,78896.31032025543
X-n733-k159,136187.00 ,452050.227822301,274706.1353183385,245780.5090367761,149196.67521036358
X-n749-k98,77269.00 ,236781.6263456702,170710.92390391944,114104.55734342696,87300.93529366946
X-n819-k171,158121.00 ,460613.3858908617,258380.44194800538,267279.1500539176,171567.86002153574
X-n876-k59,99299.00 ,164774.12779662595,217175.04418115053,137060.60066827,112240.08553875779
X-n916-k207,329179.00 ,772458.2817907459,484036.9322708477,735437.9030480824,361758.4329458927
